galaxy,n_points,chi2_spum_red,chi2_nfw_red,aic_spum,aic_nfw,bic_spum,bic_nfw,delta_aic,delta_bic,spum_better_aic,spum_better_bic,nfw_params
UGC06930,10,0.0831359889410332,0.29963471897258015,10.415679944705166,8.09744303280806,11.928605409675397,9.005198311790199,2.318236911897106,2.923407097885198,False,False,"2.27e+11,11.88"
UGC06973,9,0.6361516063425543,0.13261122018520743,12.544606425370217,6.795667321111244,13.530729312051315,7.387341053119902,5.748939104258973,6.143388258931413,False,False,"1.11e+12,13.57"
UGC06983,17,0.4872363173737999,0.5821515922987259,15.846835808485599,14.150122292182163,20.01290252876668,16.64976232435081,1.6967135163034364,3.3631402044158705,False,False,"1.97e+11,14.84"
UGC07089,12,0.3211211572659163,0.4453935468907992,12.247848100861415,10.008541922017193,14.672381349801416,11.463261871381194,2.239306178844222,3.209119478420222,False,False,"3.81e+12,2.00"
UGC07125,13,0.2844584604224366,0.6877201217174833,12.275667683379492,12.877201217174832,15.100414470687177,14.572049289559445,-0.6015335337953402,0.5283651811277323,True,False,"9.35e+10,5.50"
UGC07151,11,1.0281410462341585,5.304918493287518,16.168846277404953,48.439347946300146,18.158322641396804,49.633033764695256,-32.27050166889519,-31.47471112329845,True,True,"1.06e+11,12.44"
UGC07261,7,0.0384849581184152,0.08466382318697098,10.07696991623683,6.338655292747884,9.806520661513396,6.176385739913823,3.7383146234889466,3.6301349215995726,False,False,"5.85e+10,16.62"
UGC07323,10,1.3121213614873666,1.752737908775121,16.560606807436834,18.26916536142585,18.073532272407064,19.176920640407985,-1.7085585539890147,-1.103388368000921,True,True,"1.00e+13,2.38"
UGC07399,10,0.9853042928257144,1.3180995137405844,14.926521464128573,15.226696596184091,16.439446929098803,16.134451875166228,-0.30017513205551793,0.30499505393257564,True,False,"1.47e+11,19.68"
UGC07524,31,0.640295832456381,0.9104798765126688,26.647691643865905,31.493436542354726,33.817627666291635,35.79539815581016,-4.845744898488821,-1.9777704895185266,True,True,"2.64e+11,6.05"
