galaxy,chi2_red,n_points,upsilon,upsilon_err,lambda_grav,lambda_err,V_base,V_base_err,r0_base,r0_err,beta_light,beta_err
UGC07323,1.3121213614873666,10,0.6,0.0,29.99999465864076,1864.5443257819463,90.60162506378992,14.191228581612041,3.1700965780280197,0.8154080870902524,0.005,0.0
UGC07399,0.9853042928257143,10,0.6,0.0,0.5000000096440266,3.7576620731427623,101.07168814734321,1.9206849074708237,1.2323370247721444,0.09793628345745978,0.005,0.0
UGC07524,0.640295832456381,31,0.6,0.0,29.999999614662133,122.30548554964014,77.45614009786523,2.2658852243523793,3.1573427962336447,0.20226713041636338,0.005,0.0
UGC07559,0.07393189140529724,7,0.3,0.0,0.5000000038235018,1.804202229076828,38.43886167628978,2.8579114400785053,1.6165042539737022,0.186646305979471,0.005,0.0
UGC07577,0.11591021623780497,9,0.3,0.0,0.5000000000000001,0.9180911775175754,30.515514313361496,11.106362058900034,2.560203710859828,1.0466647842219392,0.005,0.0
UGC07603,0.20993164830793848,12,0.3,0.0,3.7364676478174346,14.211115606354587,64.29976103939566,3.582836016192243,1.1418839633352287,0.11347584191187478,0.005,0.0
UGC07608,0.10996509159090721,8,0.3,0.0,29.99999349128893,1848.323847119226,73.41086357203943,8.29152057168352,2.626365001984305,0.4677997873119317,0.005,0.0
UGC07690,1.1681913673155713,7,0.3,0.0,0.8148014882213981,5.450084450651296,59.40081207624063,8.447990393014194,0.5000000046543612,0.20307524367420576,0.005,0.0
UGC07866,0.12789938876277626,7,0.3,0.0,29.9999825596128,4434.175626736423,29.759122687181144,2.924004741156913,0.8032050387149825,0.16938397046319983,0.005,0.0
UGC08286,0.5134689410944288,17,0.6,0.0,8.267046795317318,9.516048099774926,81.99667401527594,1.308380614005796,1.3961287688680208,0.08037783461405444,0.005,0.0
UGC08490,0.22802881618523674,30,0.6,0.0,5.8516179906831605,4.5864311357503995,77.07473468716448,1.102234568120574,0.7184625033628087,0.03910287371290576,0.005,0.0
